,Track Name,Track ID,Artist Names,Artist IDs,Track Popularity,Date Released,Date Added
33,KALESHI CHORI,6FrihRowEuYfNehH0zcx0e,"['DG IMMORTALS', 'Raga', 'Harjas Harjaayi', 'VIRTUAL_AF', 'DARK HORSE']","['7jbG8tDQ5FmqBbTCj5dJdy', '4MJZBb8KABfKw0gzfgacpO', '3ioOEaiQ1Zw6RMCesOOWfZ', '1Ik6g05IoSfFmpqi4Jg7Kc', '4v9G79IPGEpwTbgB6TUUaY']",67,2023-01-15,2023-03-01T10:20:49Z
34,Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,"['Stephen Sanchez', 'Em Beihold']","['5XKFrudbV4IiuE5WuTPRmT', '7o2ZQYM7nTsaVdkXY38UAA']",89,2022-04-22,2023-03-01T10:20:49Z
35,People,26b3oVLrRUaaybJulow9kz,['Libianca'],['7kjSuFGKhLm8b5qXoMhRkJ'],86,2022-12-06,2023-03-01T10:20:49Z
36,Rubicon Drill,03yKEFruN3BS2coglBtt2N,"['Laddi Chahal', 'Parmish Verma', 'Gurlez Akhtar']","['3lmszXxkp47K9kDCRRPU8p', '3OQRPFFS3OsltFjFAXu1kE', '55kkrbuMkdzPGD7YGA6xrJ']",73,2022-11-16,2023-03-01T10:20:49Z
37,Take It Easy,5si4xdFplkXAydKfFe1xXa,"['Karan Aujla', 'Ikky']","['6DARBhWbfcS9E4yJzcliqQ', '3nqS8jzqmsPKFJTp0BOIel']",72,2023-02-04,2023-03-01T10:20:49Z
38,Mastaaru Mastaaru,59eeV0SIeyd431uyjAWCRe,"['G. V. Prakash', 'Shweta Mohan']","['5VVN3xZw1i2qihfITZlvCZ', '1rdQOMFFtoskDXXUVjiGo9']",67,2022-11-10,2023-03-01T10:20:49Z
39,Elevated,2AilvPt1AQ8PixlCKqkjfj,['Shubh'],['5r3wPya2PpeTTsXsGhQU8O'],74,2021-10-22,2023-03-01T10:20:49Z
40,Pasoori,7lvDsmTRXFE3dK4OjvRiWB,"['Shae Gill', 'Ali Sethi']","['3bWIy9AUrQdiNeS62Bp3OP', '3NegWDGp038A3FIi3gSYzl']",76,2022-02-07,2023-03-01T10:20:49Z
41,Perfect,0tgVpDi06FyKpA1z0VMD4v,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],85,2017-03-03,2023-03-01T10:20:49Z
42,Mockingbird,561jH07mF1jHuk7KlaeF0s,['Eminem'],['7dGJo4pcD2V6oG8kP0tJRR'],89,2004-11-12,2023-03-01T10:20:49Z
43,Channa Ve,58ynJq9eLLDChA3GNFJcDL,"['Akhil Sachdeva', 'Mansheel Gujral']","['3TOhzLRYnkkul71yRBxIoM', '7zfceKY7I04Tc0J2o7043h']",72,2020-02-12,2023-03-01T10:20:49Z
44,"Kaise Hua (From ""Kabir Singh"")",1y1rQTkWmrZdJmjwuK07GC,['Vishal Mishra'],['5wJ1H6ud777odtZl5gG507'],69,2019-06-13,2023-03-01T10:20:49Z
45,"Maiyya Mainu (From ""Jersey"")",4PwTeFfKqmR3XIeXXUBDOf,"['Sachet-Parampara', 'Sachet Tandon']","['1SyKki7JI1AZNKwgNMkn25', '6WOdPJmexxFINcKMkP2jMG']",75,2021-12-08,2023-03-01T10:20:49Z
46,Basti Ka Hasti,3k9PtGmPNnQtt32TKWm6f3,['MC STAN'],['5uemEEtB1ZC3s1KM7gReeH'],73,2022-02-18,2023-03-01T10:20:49Z
47,We Rollin,6ZYxNjuAU9Vy3VtF6W1dtE,['Shubh'],['5r3wPya2PpeTTsXsGhQU8O'],75,2021-09-09,2023-03-01T10:20:49Z
48,Under The Influence,5IgjP7X4th6nMNDh4akUHb,['Chris Brown'],['7bXgB6jMjp9ATFy66eO08Z'],88,2019-10-04,2023-03-01T10:20:49Z
49,"Ranjithame (From ""Varisu"")",1LbBOhicFmu7ktJqIHCELt,"['Thalapathy Vijay', 'M.M.Manasi', 'Thaman S']","['0fhunuOz2OuOEr3YK5ctSm', '3JGrxsZ6kfzJrfwsxwERhS', '2FgHPfRprDaylrSRVf1UlN']",76,2022-11-05,2023-03-01T10:20:49Z
