,track_id,analysis_url,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
40,7lvDsmTRXFE3dK4OjvRiWB,https://api.spotify.com/v1/audio-analysis/7lvDsmTRXFE3dK4OjvRiWB,0.0657,0.714,224147,0.596,0.0,11,0.0625,-6.206,0,0.043,91.991,4,0.669
41,0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
42,561jH07mF1jHuk7KlaeF0s,https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s,0.209,0.637,250760,0.678,0.0,0,0.156,-3.798,1,0.266,84.039,4,0.254
43,58ynJq9eLLDChA3GNFJcDL,https://api.spotify.com/v1/audio-analysis/58ynJq9eLLDChA3GNFJcDL,0.666,0.676,211579,0.696,0.0,9,0.0931,-6.68,1,0.0452,94.945,4,0.606
44,1y1rQTkWmrZdJmjwuK07GC,https://api.spotify.com/v1/audio-analysis/1y1rQTkWmrZdJmjwuK07GC,0.452,0.385,234722,0.464,0.0,2,0.109,-6.975,1,0.0404,137.839,4,0.15
45,4PwTeFfKqmR3XIeXXUBDOf,https://api.spotify.com/v1/audio-analysis/4PwTeFfKqmR3XIeXXUBDOf,0.194,0.63,231576,0.739,0.0,0,0.113,-3.942,1,0.0248,109.985,4,0.224
46,3k9PtGmPNnQtt32TKWm6f3,https://api.spotify.com/v1/audio-analysis/3k9PtGmPNnQtt32TKWm6f3,0.156,0.726,195429,0.624,0.0,9,0.601,-7.741,1,0.382,139.594,4,0.421
47,6ZYxNjuAU9Vy3VtF6W1dtE,https://api.spotify.com/v1/audio-analysis/6ZYxNjuAU9Vy3VtF6W1dtE,0.261,0.82,199206,0.504,7e-06,4,0.104,-9.113,0,0.141,85.016,4,0.275
48,5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,0.0635,0.733,184613,0.69,1.18e-06,9,0.105,-5.529,0,0.0427,116.992,4,0.31
49,1LbBOhicFmu7ktJqIHCELt,https://api.spotify.com/v1/audio-analysis/1LbBOhicFmu7ktJqIHCELt,0.666,0.545,287081,0.98,0.00709,9,0.0788,-6.464,1,0.129,124.96,4,0.658
